RZERO,PPM,DATE
1432.17,1801.77,2019-03-31 01:29:00
1458.98,1801.77,2019-03-31 01:29:01
1432.17,1801.77,2019-03-31 01:29:02
1432.17,1801.77,2019-03-31 01:29:03
1432.17,1801.77,2019-03-31 01:29:04
1432.17,1801.77,2019-03-31 01:29:05
1458.98,1711.57,2019-03-31 01:29:06
1432.17,1801.77,2019-03-31 01:29:07
1458.98,1801.77,2019-03-31 01:29:08
1458.98,1711.57,2019-03-31 01:29:09
1486.80,1624.35,2019-03-31 01:29:10
1486.80,1624.35,2019-03-31 01:29:11
1515.69,1540.05,2019-03-31 01:29:12
1515.69,1540.05,2019-03-31 01:29:13
1515.69,1540.05,2019-03-31 01:29:14
1486.80,1624.35,2019-03-31 01:29:15
1515.69,1624.35,2019-03-31 01:29:16
1515.69,1540.05,2019-03-31 01:29:17
1515.69,1624.35,2019-03-31 01:29:18
1486.80,1711.57,2019-03-31 01:29:19
1458.98,1711.57,2019-03-31 01:29:20
1458.98,1711.57,2019-03-31 01:29:21
1458.98,1711.57,2019-03-31 01:29:22
1458.98,1711.57,2019-03-31 01:29:23
1486.80,1711.57,2019-03-31 01:29:24
1486.80,1624.35,2019-03-31 01:29:25
1458.98,1711.57,2019-03-31 01:29:26
1458.98,1711.57,2019-03-31 01:29:27
1458.98,1711.57,2019-03-31 01:29:28
1458.98,1711.57,2019-03-31 01:29:29
1458.98,1711.57,2019-03-31 01:29:30
1486.80,1624.35,2019-03-31 01:29:31
1515.69,1624.35,2019-03-31 01:29:32
1515.69,1540.05,2019-03-31 01:29:33
1515.69,1540.05,2019-03-31 01:29:34
1545.72,1458.63,2019-03-31 01:29:35
1576.94,1380.05,2019-03-31 01:29:36
1576.94,1380.05,2019-03-31 01:29:37
1609.44,1380.05,2019-03-31 01:29:38
1609.44,1304.25,2019-03-31 01:29:39
1609.44,1304.25,2019-03-31 01:29:40
1643.30,1231.20,2019-03-31 01:29:41
1643.30,1231.20,2019-03-31 01:29:42
1643.30,1231.20,2019-03-31 01:29:43
1678.59,1231.20,2019-03-31 01:29:44
1678.59,1160.84,2019-03-31 01:29:45
1678.59,1160.84,2019-03-31 01:29:46
1678.59,1160.84,2019-03-31 01:29:47
1715.42,1160.84,2019-03-31 01:29:48
1715.42,1093.13,2019-03-31 01:29:49
1715.42,1093.13,2019-03-31 01:29:50
1715.42,1093.13,2019-03-31 01:29:51
1715.42,1093.13,2019-03-31 01:29:52
1715.42,1160.84,2019-03-31 01:29:53
1678.59,1160.84,2019-03-31 01:29:54
1678.59,1160.84,2019-03-31 01:29:55
1678.59,1160.84,2019-03-31 01:29:56
1678.59,1160.84,2019-03-31 01:29:57
1678.59,1160.84,2019-03-31 01:29:58
1678.59,1160.84,2019-03-31 01:29:59
1715.42,1160.84,2019-03-31 01:30:00
1715.42,1093.13,2019-03-31 01:30:01
1715.42,1093.13,2019-03-31 01:30:02
1715.42,1093.13,2019-03-31 01:30:03
1715.42,1093.13,2019-03-31 01:30:04
1715.42,1093.13,2019-03-31 01:30:05
1753.89,1093.13,2019-03-31 01:30:06
1753.89,1093.13,2019-03-31 01:30:07
